2         0.495460    0.428544    0.848611  0.795190      00:19     
3         0.525055    0.439456    0.838611  0.800549      00:18     
4         0.489412    0.446580    0.843056  0.804431      00:18     
5         0.473951    0.445575    0.828611  0.797506      00:18     
6         0.427983    0.440358    0.838333  0.804304      00:19     
7         0.421054    0.430038    0.847500  0.805388      00:18     
8         0.419875    0.455112    0.841111  0.803166      00:18     
9         0.393403    0.468577    0.838611  0.806139      00:19     
10        0.413106    0.472093    0.831667  0.799338      00:18     
11        0.355666    0.464766    0.836389  0.800812      00:18     
12        0.347695    0.466738    0.842222  0.803867      00:19     
13        0.335688    0.460145    0.842500  0.801540      00:18     
14        0.331868    0.460252    0.841389  0.802354      00:18     
15        0.333392    0.478605    0.843056  0.805105      00:18     
16        0.323919    0.483474    0.848889  0.806818      00:19     
17        0.315995    0.488705    0.850278  0.806879      00:19     
18        0.329854    0.476324    0.853056  0.810054      00:20     
19        0.341576    0.470352    0.838333  0.801094      00:17     
0         0.545639    0.463794    0.805833  0.761840      00:18     
1         0.520546    0.457238    0.827222  0.788291      00:19     
2         0.492865    0.431201    0.848889  0.803610      00:19     
3         0.528533    0.442279    0.847222  0.800869      00:18     
4         0.495270    0.429066    0.847778  0.805121      00:18     
5         0.471056    0.444533    0.835000  0.801603      00:18     
6         0.423206    0.467972    0.826389  0.797012      00:20     
7         0.422106    0.441395    0.846667  0.802009      00:18     
8         0.419418    0.465959    0.846389  0.808319      00:18     
9         0.395228    0.480384    0.830556  0.798680      00:19     
10        0.411904    0.472425    0.837778  0.801496      00:17     
11        0.359921    0.468148    0.835833  0.794148      00:18     
12        0.353686    0.461626    0.846389  0.803831      00:19     
13        0.339926    0.468137    0.841944  0.802499      00:18     
14        0.333443    0.463862    0.845833  0.807759      00:18     
15        0.339804    0.463445    0.843889  0.804181      00:18     
16        0.323588    0.476480    0.848333  0.805278      00:19     
17        0.322023    0.486088    0.848333  0.804581      00:19     
18        0.332551    0.474089    0.852778  0.806851      00:19     
19        0.348313    0.467740    0.841111  0.803301      00:18     
0         0.545546    0.454952    0.819167  0.771338      00:18     
1         0.520128    0.461448    0.819167  0.786207      00:18     
2         0.492389    0.436509    0.840000  0.802469      00:19     
3         0.528625    0.435987    0.844167  0.799428      00:18     
4         0.499448    0.438165    0.840000  0.801105      00:18     
5         0.474311    0.439498    0.831944  0.798266      00:18     
6         0.423829    0.441238    0.841944  0.809124      00:19     
7         0.419666    0.430999    0.852500  0.805992      00:18     
8         0.419390    0.452397    0.849444  0.804332      00:17     
9         0.395426    0.458854    0.836389  0.802283      00:19     
10        0.405222    0.456483    0.846944  0.808614      00:18     
11        0.364230    0.450327    0.846389  0.806305      00:19     
12        0.359668    0.458974    0.848056  0.808272      00:18     
13        0.340715    0.450500    0.849722  0.807952      00:18     
14        0.340250    0.451137    0.851667  0.809964      00:18     
15        0.340123    0.470369    0.845278  0.802832      00:18     
16        0.327124    0.469071    0.853333  0.808557      00:19     
17        0.318023    0.473849    0.850556  0.806196      00:20     
18        0.328954    0.466575    0.855278  0.808103      00:19     
19        0.344328    0.461185    0.842778  0.802512      00:18     
0         0.547415    0.460576    0.812500  0.765217      00:18     
1         0.519434    0.455797    0.821944  0.784683      00:19     
2         0.496103    0.425870    0.849167  0.800000      00:19     
3         0.526868    0.445675    0.831667  0.792608      00:17     
4         0.493881    0.451243    0.823889  0.793081      00:18     
5         0.476300    0.436445    0.834167  0.797833      00:18     
6         0.420573    0.466951    0.821667  0.794099      00:19     
7         0.420328    0.427691    0.852778  0.805004      00:18     
8         0.425800    0.449139    0.847778  0.806224      00:18     
9         0.394462    0.456779    0.845833  0.807492      00:19     
10        0.414282    0.460001    0.835278  0.801207      00:18     
